H2O	O
Chloroacetaldehyde [Cytosol]	
Chloroacetic acid [Cytosol]	
Choline [Cytosol]	
Chorismate [Cytosol]	
Cinnamoyl-CoA [Cytosol]	
Citrate [Cytosol]	
Citronellate [Cytosol]	
CoA [Cytosol]	
Cob(I)alamin [Cytosol]	
Cobalt-factor III [Cytosol]	
Cobalt-precorrin 5A [Cytosol]	
Cobalt-precorrin 5B [Cytosol]	
Cobalt-precorrin 6 [Cytosol]	
Cobalt-precorrin 8 [Cytosol]	
Cobalt-sirohydrochlorin [Cytosol]	
Cobamide coenzyme [Cytosol]	
Cobyrinate [Cytosol]	
Coenzyme B [Cytosol]	
Coenzyme F420 [Cytosol]	
Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide [Cytosol]	
Coenzyme M [Cytosol]	
CofactorPool [Cytosol]	
Coproporphyrin III [Cytosol]	
Coproporphyrinogen I [Cytosol]	
Coproporphyrinogen III [Cytosol]	
Cortol [Cytosol]	
Cortolone [Cytosol]	
Crocetin dialdehyde [Cytosol]	
Crotonoyl-CoA [Cytosol]	
Cyclohex-1-ene-1-carboxyl-CoA [Cytosol]	
Cyclohexa-1,5-diene-1-carbonyl-CoA [Cytosol]	
Cyclohexane-1-carboxyl-CoA [Cytosol]	
Cyclohexane-1-carboxylate [Cytosol]	
Cyclohexanol [Cytosol]	
Cyclohexanone [Cytosol]	
Cyclomaltodextrin [Cytosol]	
Cys-Gly [Cytosol]	
Cystathionine [Cytosol]	
Cytidine [Cytosol]	
Cytidylyl molybdenum cofactor [Cytosol]	
Cytosine [Cytosol]	
D-1-Aminopropan-2-ol O-phosphate [Cytosol]	
D-4'-Phosphopantothenate [Cytosol]	
D-Alanine [Cytosol]	
D-Alanyl-(R)-lactate [Cytosol]	
D-Alanyl-D-alanine [Cytosol]	
D-Allose 6-phosphate [Cytosol]	
D-Allulose 6-phosphate [Cytosol]	
D-Aspartate [Cytosol]	
D-Erythritol 1-phosphate [Cytosol]	
D-Erythrose 4-phosphate [Cytosol]	
D-Erythrulose 4-phosphate [Cytosol]	
D-Fructose 1,6-bisphosphate [Cytosol]	
D-Fructose 1-phosphate [Cytosol]	
D-Fructose 6-phosphate [Cytosol]	
D-Fructose [Cytosol]	
D-Gal alpha 1->6D-Gal alpha 1->6D-Glucose [Cytosol]	
D-Galactaro-1,4-lactone [Cytosol]	
D-Galactono-1,4-lactone [Cytosol]	
D-Galactosamine 6-phosphate [Cytosol]	
D-Galactose 6-phosphate [Cytosol]	
D-Galactose [Cytosol]	
D-Glucarate [Cytosol]	
D-Gluconic acid [Cytosol]	
D-Glucono-1,5-lactone 6-phosphate [Cytosol]	
D-Glucono-1,5-lactone [Cytosol]	
D-Glucosamine 6-phosphate [Cytosol]	
D-Glucose 1-phosphate [Cytosol]	
D-Glucose 6-phosphate [Cytosol]	
D-Glucose [Cytosol]	
D-Glucuronate [Cytosol]	
D-Glucuronolactone [Cytosol]	
D-Glutamate [Cytosol]	
D-Glutamine [Cytosol]	
D-Glyceraldehyde 3-phosphate [Cytosol]	
D-Glyceraldehyde [Cytosol]	
D-Glycerate [Cytosol]	
D-Mannose 1-phosphate [Cytosol]	
D-Mannose 6-phosphate [Cytosol]	
D-Mannose [Cytosol]	
D-Phenylalanine [Cytosol]	
D-Ribitol 5-phosphate [Cytosol]	
D-Ribose 5-phosphate [Cytosol]	
D-Ribose [Cytosol]	
D-Ribulose 5-phosphate [Cytosol]	
D-Serine [Cytosol]	
D-Tagatose 1,6-bisphosphate [Cytosol]	
D-Tagatose 6-phosphate [Cytosol]	
D-Tagatose [Cytosol]	
D-Xylonate [Cytosol]	
D-Xylonolactone [Cytosol]	
D-Xylose [Cytosol]	
D-Xylulose 5-phosphate [Cytosol]	
D-Xylulose [Cytosol]	
D-arabino-Hex-3-ulose 6-phosphate [Cytosol]	
D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate [Cytosol]	
D-erythro-3-Methylmalate [Cytosol]	
DNA [Cytosol]	
Deamino-NAD+ [Cytosol]	
Decanoyl-CoA [Cytosol]	
Decanoyl-[acp] [Cytosol]	
Dehydroascorbate [Cytosol]	
Dehydroepiandrosterone [Cytosol]	
Dehypoxanthine futalosine [Cytosol]	
Demethylmenaquinol [Cytosol]	
Demethylphosphinothricin [Cytosol]	
Deoxyadenosine [Cytosol]	
Deoxycytidine [Cytosol]	
Deoxyguanosine [Cytosol]	
Deoxyinosine [Cytosol]	
Deoxyribose [Cytosol]	
Deoxyuridine [Cytosol]	
Dephospho-CoA [Cytosol]	
Dethiobiotin [Cytosol]	
Dhurrin [Cytosol]	
Diacetyl [Cytosol]	
Dihydrofolate [Cytosol]	
Dihydrolipoamide [Cytosol]	
Dihydromethanophenazine [Cytosol]	
Dihydropteroate [Cytosol]	
Dimethyl sulfide [Cytosol]	
Dimethyl sulfone [Cytosol]	
Dimethyl sulfoxide [Cytosol]	
Dimethylallyl diphosphate [Cytosol]	
Dimethylbenzimidazole [Cytosol]	
Diphosphate [Cytosol]	
Divinylprotochlorophyllide [Cytosol]	
Dodecanoyl-[acyl-carrier protein] [Cytosol]	
E-Phenylitaconyl-CoA [Cytosol]	
Electron-transferring flavoprotein [Cytosol]	
Enoylglutaryl-[acp] methyl ester [Cytosol]	
Enoylpimeloyl-[acp] methyl ester [Cytosol]	
Enterochelin [Cytosol]	
Epiandrosterone [Cytosol]	
Erythritol [Cytosol]	
Erythrulose 1-phosphate [Cytosol]	
Estradiol-17beta [Cytosol]	
Estrone [Cytosol]	
Ethanol [Cytosol]	
Ethanolamine [Cytosol]	
Ethylene glycol [Cytosol]	
Ethylnitronate [Cytosol]	
FAD [Cytosol]	
FADH2 [Cytosol]	
FMN [Cytosol]	
Farnesoic acid [Cytosol]	
Fe-coproporphyrin III [Cytosol]	
Fe2+ [Cytosol]	
Fe3+ [Cytosol]	
Fe_e [Extracellular]	
Ferulate [Cytosol]	
Feruloyl-CoA [Cytosol]	
Folate [Cytosol]	
Folate_e [Extracellular]	
Folinic acid [Cytosol]	
Formaldehyde [Cytosol]	
Formamidopyrimidine nucleoside triphosphate [Cytosol]	
Formate [Cytosol]	
Fructose_e [Extracellular]	
Fumarate [Cytosol]	
GDP [Cytosol]	
GDP-4-amino-4,6-dideoxy-alpha-D-mannose [Cytosol]	
GDP-4-dehydro-6-deoxy-D-mannose [Cytosol]	
GDP-D-mannuronate [Cytosol]	
GDP-mannose [Cytosol]	
GDP-valienol [Cytosol]	
GMP [Cytosol]	
GTP [Cytosol]	
Galactitol [Cytosol]	
Galactose_e [Extracellular]	
Geranial [Cytosol]	
Geranic acid [Cytosol]	
Geranoyl-CoA [Cytosol]	
Geranyl diphosphate [Cytosol]	
Geranylgeranyl diphosphate [Cytosol]	
Glucose_e [Extracellular]	
Glutaconyl-1-CoA [Cytosol]	
Glutamate [Cytosol]	
Glutarate [Cytosol]	
Glutaryl-CoA [Cytosol]	
Glutaryl-[acp] methyl ester [Cytosol]	
Glutathione [Cytosol]	
Glutathione disulfide [Cytosol]	
Glycerol [Cytosol]	
Glycerone [Cytosol]	
Glycerone phosphate [Cytosol]	
Glycine [Cytosol]	
Glycogen [Cytosol]	
Glycolaldehyde [Cytosol]	
Glycolate [Cytosol]	
Glyoxylate [Cytosol]	
Guanine [Cytosol]	
Guanosine 3',5'-bis(diphosphate) [Cytosol]	
Guanosine 3'-diphosphate 5'-triphosphate [Cytosol]	
Guanosine 3'-phosphate [Cytosol]	
Guanosine [Cytosol]	
Guanylyl molybdenum cofactor [Cytosol]	
H+ [Cytosol]	
H2O [Cytosol]	
HCO3- [Cytosol]	
H_e [Extracellular]	
Heme O [Cytosol]	
Heme [Cytosol]	
Hexadecanoic acid [Cytosol]	
Hexadecanoyl-[acp] [Cytosol]	
Hexanoyl-CoA [Cytosol]	
Hexanoyl-[acp] [Cytosol]	
Hippurate [Cytosol]	
Homoisocitrate [Cytosol]	
Homovanillate [Cytosol]	
Hydrochloric acid [Cytosol]	
Hydrogen [Cytosol]	
Hydrogen peroxide [Cytosol]	
Hydrogen selenide [Cytosol]	
Hydrogen sulfide [Cytosol]	
Hydrogenobyrinate [Cytosol]	
Hydrogenobyrinate a,c diamide [Cytosol]	
Hydroquinone (C15603) [Cytosol]	
Hydroxyacetone [Cytosol]	
Hydroxymethylbilane [Cytosol]	
Hydroxyproline [Cytosol]	
Hydroxypyruvate [Cytosol]	
Hypoxanthine [Cytosol]	
IDP [Cytosol]	
IMP [Cytosol]	
ITP [Cytosol]	
Imidazole-4-acetaldehyde [Cytosol]	
Imidazole-4-acetate [Cytosol]	
Iminoaspartate [Cytosol]	
Iminoerythrose 4-phosphate [Cytosol]	
Iminoglycine [Cytosol]	
Indole [Cytosol]	
Indole-3-acetaldehyde [Cytosol]	
Indole-3-acetate [Cytosol]	
Indoleglycerol phosphate [Cytosol]	
Indolepyruvate [Cytosol]	
Inosine [Cytosol]	
Inositol 1-phosphate [Cytosol]	
Ipsdienone [Cytosol]	
Isochorismate [Cytosol]	
Isocitrate [Cytosol]	
Isomaltose [Cytosol]	
Isopentenyl diphosphate [Cytosol]	
Itaconate [Cytosol]	
Itaconyl-CoA [Cytosol]	
Kanosamine 6-phosphate [Cytosol]	
L-1-Pyrroline-3-hydroxy-5-carboxylate [Cytosol]	
L-2,3-Diaminopropanoate [Cytosol]	
L-2,4-Diaminobutanoate [Cytosol]	
L-2-Amino-3-oxobutanoic acid [Cytosol]	
L-2-Aminoadipate 6-semialdehyde [Cytosol]	
L-2-Aminoadipate [Cytosol]	
L-3,4-Dihydroxybutan-2-one 4-phosphate [Cytosol]	
L-3-Aminoisobutanoate [Cytosol]	
L-4-Hydroxyglutamate semialdehyde [Cytosol]	
L-Alanine [Cytosol]	
L-Alanyl-D-glutamate [Cytosol]	
L-Alanyl-L-glutamate [Cytosol]	
L-Anticapsin [Cytosol]	
L-Arginine [Cytosol]	
L-Arogenate [Cytosol]	
L-Asparagine [Cytosol]	
L-Aspartate 4-semialdehyde [Cytosol]	
L-Aspartate [Cytosol]	
L-Carnitine [Cytosol]	
L-Carnitinyl-CoA [Cytosol]	
L-Citrulline [Cytosol]	
L-Cystathionine [Cytosol]	
L-Cysteate [Cytosol]	
L-Cysteine [Cytosol]	
L-Cystine [Cytosol]	
L-Dihydroanticapsin [Cytosol]	
L-Glutamate 5-semialdehyde [Cytosol]	
L-Glutamate [Cytosol]	
L-Glutamine [Cytosol]	
L-Glutamyl 5-phosphate [Cytosol]	
L-Gulonate [Cytosol]	
L-Histidinal [Cytosol]	
L-Histidine [Cytosol]	
L-Histidinol [Cytosol]	
L-Histidinol phosphate [Cytosol]	
L-Homocysteine [Cytosol]	
L-Homoserine [Cytosol]	
L-Isoleucine [Cytosol]	
L-Leucine [Cytosol]	
L-Lysine [Cytosol]	
L-Malyl-CoA [Cytosol]	
L-Methionine S-oxide [Cytosol]	
L-Methionine [Cytosol]	
L-Ornithine [Cytosol]	
L-Phenylalanine [Cytosol]	
L-Phosphinothricin [Cytosol]	
L-Proline [Cytosol]	
L-Rhamnofuranose [Cytosol]	
L-Rhamnono-1,4-lactone [Cytosol]	
L-Rhamnose [Cytosol]	
L-Selenocystathionine [Cytosol]	
L-Selenocysteine [Cytosol]	
L-Selenomethionine [Cytosol]	
L-Serine [Cytosol]	
L-Threonine O-3-phosphate [Cytosol]	
L-Threonine [Cytosol]	
L-Threonylcarbamoyladenylate [Cytosol]	
L-Tryptophan [Cytosol]	
L-Tyrosine [Cytosol]	
L-Valine [Cytosol]	
L-Xylulose 5-phosphate [Cytosol]	
L-Xylulose [Cytosol]	
L-erythro-4-Hydroxyglutamate [Cytosol]	
LL-2,6-Diaminoheptanedioate [Cytosol]	
Lactose 6'-phosphate [Cytosol]	
Lauroyl-CoA [Cytosol]	
Levan [Cytosol]	
Levanbiose [Cytosol]	
Linamarin [Cytosol]	
Lipoamide [Cytosol]	
Lotaustralin [Cytosol]	
Magnesium protoporphyrin monomethyl ester [Cytosol]	
Malonamoyl-CoA [Cytosol]	
Malonamoyl-[acyl-carrier protein] [Cytosol]	
Malonyl-CoA [Cytosol]	
Malonyl-[acp] methyl ester [Cytosol]	
Malonyl-[acyl-carrier protein] [Cytosol]	
Maltodextrin [Cytosol]	
Maltose [Cytosol]	
Mandelonitrile [Cytosol]	
Mannose_e [Extracellular]	
Matairesinol [Cytosol]	
Melibiose [Cytosol]	
Menaquinol [Cytosol]	
Menaquinone [Cytosol]	
Mercaptopyruvate [Cytosol]	
Methaneselenol [Cytosol]	
Methanesulfonic acid [Cytosol]	
Methanethiol [Cytosol]	
Methanol [Cytosol]	
Methanophenazine [Cytosol]	
Methylglyoxal [Cytosol]	
Methylimidazole acetaldehyde [Cytosol]	
Methylimidazoleacetic acid [Cytosol]	
Methylmalonate [Cytosol]	
Methylphosphonate [Cytosol]	
Methylselenic acid [Cytosol]	
Molybdate [Cytosol]	
Molybdate_e [Extracellular]	
Molybdoenzyme molybdenum cofactor [Cytosol]	
Molybdopterin [Cytosol]	
MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol [Cytosol]	
N(omega)-Hydroxyarginine [Cytosol]	
N,N'-Diacetyl-alpha-D-bacillosaminyldiphospho-tritrans,heptacis-undecaprenol [Cytosol]	
N-((R)-Pantothenoyl)-L-cysteine [Cytosol]	
N-(4-Oxoglutaryl)-L-cysteinylglycine [Cytosol]	
N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide [Cytosol]	
N-(5-Phospho-D-ribosyl)anthranilate [Cytosol]	
N-(L-Arginino)succinate [Cytosol]	
N-Acetyl-D-galactosamine 6-phosphate [Cytosol]	
N-Acetyl-D-glucosamine 6-phosphate [Cytosol]	
N-Acetyl-D-glucosamine [Cytosol]	
N-Acetyl-D-glucosaminyldiphosphoundecaprenol [Cytosol]	
N-Acetyl-D-mannosamine 6-phosphate [Cytosol]	
N-Acetyl-D-mannosamine [Cytosol]	
N-Acetyl-L-2-amino-6-oxopimelate [Cytosol]	
N-Acetyl-L-citrulline [Cytosol]	
N-Acetyl-L-glutamate 5-semialdehyde [Cytosol]	
N-Acetyl-L-glutamate [Cytosol]	
N-Acetyl-alpha-D-glucosamine 1-phosphate [Cytosol]	
N-Acetyldemethylphosphinothricin [Cytosol]	
N-Acetylmuramate [Cytosol]	
N-Acetylmuramic acid 6-phosphate [Cytosol]	
N-Acetylmuramoyl-Ala [Cytosol]	
N-Acetylornithine [Cytosol]	
N-Acetylphosphinothricin [Cytosol]	
N-Carbamoyl-L-aspartate [Cytosol]	
N-Carbamoylputrescine [Cytosol]	
N-Succinyl-2-L-amino-6-oxoheptanedioate [Cytosol]	
N-Succinyl-L-glutamate 5-semialdehyde [Cytosol]	
N-Succinyl-L-glutamate [Cytosol]	
N-Succinyl-LL-2,6-diaminoheptanedioate [Cytosol]	
N-[(2S)-2-Amino-2-carboxyethyl]-L-glutamate [Cytosol]	
N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole [Cytosol]	
N3-Fumaroyl-L-2,3-diaminopropanoate [Cytosol]	
N4-Acetylaminobutanal [Cytosol]	
N6-(1,2-Dicarboxyethyl)-AMP [Cytosol]	
N6-Acetyl-LL-2,6-diaminoheptanedioate [Cytosol]	
NAD+ [Cytosol]	
NADH [Cytosol]	
NADP+ [Cytosol]	
NADPH [Cytosol]	
Nickel-sirohydrochlorin [Cytosol]	
Nickel-sirohydrochlorin a,c-diamide [Cytosol]	
Nicotinamide D-ribonucleotide [Cytosol]	
Nicotinamide [Cytosol]	
Nicotinamide-beta-riboside [Cytosol]	
Nicotinate D-ribonucleoside [Cytosol]	
Nicotinate D-ribonucleotide [Cytosol]	
Nicotinate [Cytosol]	
Nicotinicacid_e [Extracellular]	
Nitrate [Cytosol]	
Nitric oxide [Cytosol]	
Nitrite [Cytosol]	
O-Acetyl-L-homoserine [Cytosol]	
O-Acetyl-L-serine [Cytosol]	
O-Phospho-4-hydroxy-L-threonine [Cytosol]	
O-Phospho-L-homoserine [Cytosol]	
O-Phospho-L-serine [Cytosol]	
O-Phosphorylhomoserine [Cytosol]	
O-Succinyl-L-homoserine [Cytosol]	
OPC4-CoA [Cytosol]	
OPC6-CoA [Cytosol]	
Octadecanoyl-[acyl-carrier protein] [Cytosol]	
Octanoyl-CoA [Cytosol]	
Octanoyl-[acp] [Cytosol]	
Orotate [Cytosol]	
Orotidine 5'-phosphate [Cytosol]	
Orthophosphate [Cytosol]	
Orthophosphate_e [Extracellular]	
Oxalate [Cytosol]	
Oxaloacetate [Cytosol]	
Oxalureate [Cytosol]	
Oxalyl-CoA [Cytosol]	
Oxidized ferredoxin [Cytosol]	
Oxidized flavodoxin [Cytosol]	
Oxygen [Cytosol]	
Palmitoyl-CoA [Cytosol]	
Pantetheine 4'-phosphate [Cytosol]	
Pantetheine [Cytosol]	
Pantothenate [Cytosol]	
Peptidoglycan [Cytosol]	
Perillic acid [Cytosol]	
Perillyl aldehyde [Cytosol]	
Phenylacetaldehyde [Cytosol]	
Phenylacetic acid [Cytosol]	
Phenylpyruvate [Cytosol]	
Phosphoenolpyruvate [Cytosol]	
Phosphonoacetaldehyde [Cytosol]	
Phosphonoacetate [Cytosol]	
Phosphoribosyl-AMP [Cytosol]	
Phthalate [Cytosol]	
Pimelate [Cytosol]	
Pimeloyl-[acyl-carrier protein] [Cytosol]	
Pimeloyl-[acyl-carrier protein] methyl ester [Cytosol]	
Porphobilinogen [Cytosol]	
Precorrin 2 [Cytosol]	
Precorrin 3A [Cytosol]	
Precorrin 4 [Cytosol]	
Precorrin 5 [Cytosol]	
Precorrin 6Y [Cytosol]	
Precorrin 8X [Cytosol]	
Precursor Z [Cytosol]	
Pregnanediol [Cytosol]	
Pregnanolone [Cytosol]	
Prephenate [Cytosol]	
Propan-2-ol [Cytosol]	
Propanal [Cytosol]	
Propane-1,2-diol [Cytosol]	
Propane-1,3-diol [Cytosol]	
Propane-1-ol [Cytosol]	
Propanoate [Cytosol]	
Propanoyl phosphate [Cytosol]	
Propanoyl-CoA [Cytosol]	
Propenoyl-CoA [Cytosol]	
Propynoate [Cytosol]	
Protein [Cytosol]	
Protoanemonin [Cytosol]	
Protoporphyrin [Cytosol]	
Protoporphyrinogen IX [Cytosol]	
Prunasin [Cytosol]	
Pseudouridine 5'-phosphate [Cytosol]	
Pseudouridine [Cytosol]	
Putrescine [Cytosol]	
Pyridoxal [Cytosol]	
Pyridoxal phosphate [Cytosol]	
Pyridoxine [Cytosol]	
Pyridoxine_e [Extracellular]	
Pyrrolyl-2-carboxyl-S-[acyl-carrier protein] [Cytosol]	
Pyruvate [Cytosol]	
Q-cytochrome [Cytosol]	
Q-cytochromeH2 [Cytosol]	
Quinolinate [Cytosol]	
Quinone [Cytosol]	
RNA [Cytosol]	
Raffinose [Cytosol]	
Reduced FMN [Cytosol]	
Reduced coenzyme F420 [Cytosol]	
Reduced electron-transferring flavoprotein [Cytosol]	
Reduced ferredoxin [Cytosol]	
Reduced flavodoxin [Cytosol]	
Reduced riboflavin [Cytosol]	
Retinal [Cytosol]	
Retinol [Cytosol]	
Riboflavin [Cytosol]	
S-Adenosyl-4-methylthio-2-oxobutanoate [Cytosol]	
S-Adenosyl-L-homocysteine [Cytosol]	
S-Adenosyl-L-methionine [Cytosol]	
S-Adenosylmethioninamine [Cytosol]	
S-Methyl-5-thio-D-ribose 1-phosphate [Cytosol]	
S-Methyl-5-thio-D-ribulose 1-phosphate [Cytosol]	
S-Ribosyl-L-homocysteine [Cytosol]	
S-Sulfo-L-cysteine [Cytosol]	
Sarcosine [Cytosol]	
Se-Adenosylselenomethionine [Cytosol]	
Se-Methyl-L-selenocysteine [Cytosol]	
Secoisolariciresinol [Cytosol]	
Sedoheptulose 1,7-bisphosphate [Cytosol]	
Sedoheptulose 7-phosphate [Cytosol]	
Selenate [Cytosol]	
Selenite [Cytosol]	
Selenohomocysteine [Cytosol]	
Shikimate 3-phosphate [Cytosol]	
Shikimate [Cytosol]	
Sinapate [Cytosol]	
Sinapoyl-CoA [Cytosol]	
Siroheme [Cytosol]	
Sirohydrochlorin [Cytosol]	
Spermidine [Cytosol]	
Spermine [Cytosol]	
Stachyose [Cytosol]	
Succinate [Cytosol]	
Succinate semialdehyde [Cytosol]	
Succinyl-CoA [Cytosol]	
Sucrose 6-phosphate [Cytosol]	
Sucrose [Cytosol]	
Sulfate [Cytosol]	
Sulfite [Cytosol]	
Sulfoacetaldehyde [Cytosol]	
Taurine [Cytosol]	
Teichuronic_acid [Cytosol]	
Testosterone [Cytosol]	
Tetracenomycin F2 [Cytosol]	
Tetradecanoyl-CoA [Cytosol]	
Tetradecanoyl-[acp] [Cytosol]	
Tetrahydrobiopterin [Cytosol]	
Tetrahydrocortisone [Cytosol]	
Tetrahydrofolate [Cytosol]	
Tetrahydropteroyltri-L-glutamate [Cytosol]	
Tetraprenyl-beta-curcumene [Cytosol]	
Thiamin diphosphate [Cytosol]	
Thiamin monophosphate [Cytosol]	
Thiamin triphosphate [Cytosol]	
Thiamine [Cytosol]	
Thiamine_e [Extracellular]	
Thiocysteine [Cytosol]	
Thioguanine [Cytosol]	
Thioredoxin [Cytosol]	
Thioredoxin disulfide [Cytosol]	
Thiosulfate [Cytosol]	
Thymidine [Cytosol]	
Thymine [Cytosol]	
Toluate [Cytosol]	
Trichloroacetate [Cytosol]	
Trichloroethanol [Cytosol]	
Trinitrotoluene [Cytosol]	
Triphosphate [Cytosol]	
Tropine [Cytosol]	
Tropinone [Cytosol]	
UDP [Cytosol]	
UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-glucuronate [Cytosol]	
UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-mannuronate [Cytosol]	
UDP-2-acetamido-2-deoxy-alpha-D-ribo-hex-3-uluronate [Cytosol]	
UDP-2-acetamido-3-amino-2,3-dideoxy-alpha-D-glucuronate [Cytosol]	
UDP-3-O-(3-hydroxytetradecanoyl)-D-glucosamine [Cytosol]	
UDP-3-O-(3-hydroxytetradecanoyl)-N-acetylglucosamine [Cytosol]	
UDP-D-galacturonate [Cytosol]	
UDP-D-xylose [Cytosol]	
UDP-L-Ara4N [Cytosol]	
UDP-L-Ara4O [Cytosol]	
UDP-L-arabinose [Cytosol]	
UDP-N,N'-Diacetylbacillosamine [Cytosol]	
UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate [Cytosol]	
UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine [Cytosol]	
UDP-N-acetyl-D-galactosamine [Cytosol]	
UDP-N-acetyl-D-galactosaminuronic acid [Cytosol]	
UDP-N-acetyl-D-mannosamine [Cytosol]	
UDP-N-acetyl-D-mannosaminouronate [Cytosol]	
UDP-N-acetyl-alpha-D-glucosamine [Cytosol]	
UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-L-glutamate [Cytosol]	
UDP-N-acetylmuramate [Cytosol]	
UDP-N-acetylmuramoyl-L-alanine [Cytosol]	
UDP-N-acetylmuramoyl-L-alanyl-D-glutamate [Cytosol]	
UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine [Cytosol]	
UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine [Cytosol]	
UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimelate [Cytosol]	
UDP-alpha-D-galactose [Cytosol]	
UDP-glucose [Cytosol]	
UDP-glucuronate [Cytosol]	
UDPMurNAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala) [Cytosol]	
UMP [Cytosol]	
UTP [Cytosol]	
Ubiquinol [Cytosol]	
Ubiquinone [Cytosol]	
Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine [Cytosol]	
Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine [Cytosol]	
Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine [Cytosol]	
Uracil [Cytosol]	
Urate [Cytosol]	
Urea [Cytosol]	
Urea-1-carboxylate [Cytosol]	
Uridine [Cytosol]	
Urocanate [Cytosol]	
Urocortisol [Cytosol]	
Uroporphyrinogen I [Cytosol]	
Uroporphyrinogen III [Cytosol]	
Valienol 1-phosphate [Cytosol]	
Vanillate [Cytosol]	
VitB12_e [Extracellular]	
XTP [Cytosol]	
Xanthine [Cytosol]	
Xanthosine 5'-phosphate [Cytosol]	
Xanthosine [Cytosol]	
Xylose_e [Extracellular]	
Zeaxanthin [Cytosol]	
[5-(Aminomethyl)furan-3-yl]methyl phosphate [Cytosol]	
all-trans-Heptaprenyl diphosphate [Cytosol]	
all-trans-Hexaprenyl diphosphate [Cytosol]	
all-trans-Nonaprenyl diphosphate [Cytosol]	
all-trans-Octaprenyl diphosphate [Cytosol]	
all-trans-Polyprenyl diphosphate [Cytosol]	
alpha,alpha'-Trehalose 6-phosphate [Cytosol]	
alpha,alpha-Trehalose [Cytosol]	
alpha-D-Gal-(1->3)-alpha-D-GlcNAc-diphospho-ditrans,octacis-undecaprenol [Cytosol]	
alpha-D-Galactose 1-phosphate [Cytosol]	
alpha-D-Galactose [Cytosol]	
alpha-D-Glucosamine 1-phosphate [Cytosol]	
alpha-D-Glucose [Cytosol]	
alpha-D-Ribose 1-methylphosphonate 5-triphosphate [Cytosol]	
alpha-D-Ribose 1-phosphate [Cytosol]	
alpha-Isopropylmalate [Cytosol]	
alpha-Oxo-benzeneacetic acid [Cytosol]	
alpha-Ribazole [Cytosol]	
beta-1,2-Mannobiose [Cytosol]	
beta-Alanine [Cytosol]	
beta-Citraurin [Cytosol]	
beta-Citronellol [Cytosol]	
beta-D-Glucose [Cytosol]	
beta-D-Mannosyl-1,4-N-acetyl-D-glucosamine [Cytosol]	
beta-D-Ribofuranose [Cytosol]	
beta-D-Ribopyranose [Cytosol]	
cis,cis-3,6-Dodecadienoyl-CoA [Cytosol]	
cis,cis-Muconate [Cytosol]	
cis-2,3-Dihydroxy-2,3-dihydro-p-cumate [Cytosol]	
cis-2-Hydroxycinnamate [Cytosol]	
cis-3-Chloro-2-propene-1-ol [Cytosol]	
cis-3-Chloroacrylic acid [Cytosol]	
cis-3-Chloroallyl aldehyde [Cytosol]	
cis-Aconitate [Cytosol]	
cis-Dec-3-enoyl-[acp] [Cytosol]	
cis-beta-D-Glucosyl-2-hydroxycinnamate [Cytosol]	
cis-trans-Nepetalactol [Cytosol]	
dADP [Cytosol]	
dAMP [Cytosol]	
dATP [Cytosol]	
dCDP [Cytosol]	
dCMP [Cytosol]	
dCTP [Cytosol]	
dGDP [Cytosol]	
dGMP [Cytosol]	
dGTP [Cytosol]	
dIDP [Cytosol]	
dITP [Cytosol]	
dTDP [Cytosol]	
dTDP-3,4-dioxo-2,6-dideoxy-D-glucose [Cytosol]	
dTDP-3-amino-2,3,6-trideoxy-4-keto-D-glucose [Cytosol]	
dTDP-3-amino-3,4,6-trideoxy-D-glucose [Cytosol]	
dTDP-3-amino-3,6-dideoxy-D-glucose [Cytosol]	
dTDP-3-oxo-4,6-dideoxy-D-glucose [Cytosol]	
dTDP-4-dehydro-beta-L-rhamnose [Cytosol]	
dTDP-4-oxo-2,6-dideoxy-D-allose [Cytosol]	
dTDP-4-oxo-2,6-dideoxy-D-glucose [Cytosol]	
dTDP-4-oxo-2-deoxy-alpha-D-pentos-2-ene [Cytosol]	
